Id,Saleprice
481,205276.2343850717
193,185392.40227415445
555,122021.87282134627
899,52918.33321029857
2357,184998.01414382964
328,130669.20921528601
1356,97833.20429834793
1154,114360.81294053665
1730,188854.9407054758
2249,163924.33183326264
1119,289076.4778932144
2856,138418.23644233795
1394,126600.10483585898
2587,130416.1070002151
61,307564.14310004
2661,171592.18726641795
2711,131440.74026368096
1147,192930.89849487858
757,121369.37936666669
2623,104554.70004711642
2378,141853.28455423104
1413,132585.3157649893
1722,247881.50477365666
1112,226696.1633744485
1623,180753.53308287336
1201,209854.5625783013
1513,116799.71642724711
957,330204.37988992897
1171,248487.83994537249
1145,204457.48859683264
2726,209158.64750439464
703,152884.16841416142
760,111248.95614441877
1964,158753.49414994963
2512,189797.5890346702
159,129550.52736069926
1281,182274.95115267317
468,194908.0047335718
290,129020.88473111273
665,112421.5017788235
1463,251954.36488511568
1792,219782.67405691135
923,158299.67739595717
500,288400.22572666313
1408,148624.77720809242
331,70152.4280651568
170,155913.19892082733
2192,96505.60771733426
2571,264349.849341011
2314,168930.9004262812
2647,84510.1083377105
422,400638.78348278545
2457,313688.74559450155
1838,191360.15898129807
2805,249768.70124672836
1645,160134.53002556638
1711,314917.70325608656
2825,226883.34860507987
322,304623.26136407204
2103,260317.66868167382
342,119844.9461741639
600,116223.12609806648
488,169858.00994506342
1725,310048.18912303814
2246,281037.6336675378
2847,146221.82129899805
806,238357.20630587044
530,226576.55117812613
963,188866.32495792722
2678,100561.83329455474
171,80899.71963086867
2401,408489.7411896029
805,225183.2320985645
2259,244640.16614679684
1748,196924.60711115753
1361,135000.94471704753
1677,109229.31349493231
1406,162474.2495091598
2322,248843.81800937522
688,160367.0250765696
143,129680.13914092434
804,215094.6667271227
1214,208648.9793682449
2828,147930.26595242092
1999,186496.74963146457
2467,207508.33446498128
2665,172711.44619535597
1538,313485.40816502663
398,112877.5702083289
2822,143155.6134513981
2157,153423.81368444543
1856,183075.59932271775
1269,107927.80696239232
2570,114375.24666656427
2320,242505.81099952201
1517,129741.28046098741
2304,115526.05949408162
1312,98226.77110775671
2012,146587.52398506738
506,256835.96605934628
2865,204478.73040688378
2367,100815.6040802781
554,103542.0616823802
238,132160.09656804585
1954,108761.40097126791
2488,121513.25148676072
2291,74494.5682969919
1969,101692.84323323626
2725,155311.66843922852
1482,159945.5408307129
2763,212386.52074783592
503,269134.6836883706
1584,247782.31095115945
1531,178810.72473390677
2210,190154.42823654754
459,324886.47375212226
556,128213.31803599159
1347,140086.36203373328
1290,82279.20468457151
1388,113063.22181127564
1571,257779.50583136
2754,216937.65136978234
765,133822.44207899616
2494,120541.82234717417
2870,215735.39179969754
7,246214.295995961
1114,234420.3662339452
2418,276363.19052754133
291,119487.8432100752
18,362117.9785882294
39,369877.02463030606
1001,292187.79389069375
2442,230014.8647015242
616,121132.77768707325
2680,62030.844731793375
1414,118488.6433412411
289,165248.123056158
40,275291.5833765215
860,139094.4481951629
409,108857.55987442899
673,148292.27310610062
2427,195192.7322915257
2036,191769.2478535035
2564,142555.06439316878
642,170053.63492343292
1008,183232.37052024817
1908,145101.29996584568
2519,201293.45211916015
1369,93021.37674184592
2855,157710.27869713295
712,82944.28100869272
1943,110326.95868817145
1958,138176.21615568319
107,182001.28796805965
2295,205231.57788461787
704,103772.41834273185
676,148031.08599809633
259,186958.87177978107
93,289572.0474475789
106,240828.03574921438
2315,168136.23423515228
1050,107249.87924795326
1095,215704.04114693165
2709,162927.7539818434
758,131807.26488638358
1496,168703.77689851457
2370,109578.13968818364
2458,280986.8285432058
2733,137505.55337655247
161,243500.95695470506
726,155750.6524479906
845,216556.33166475175
947,252102.35580960885
2232,106142.60124372292
2563,138031.58486722602
2299,143903.17088423297
211,83524.49138608338
605,152921.22172468714
1478,204335.15247316443
2247,264806.23105093715
2274,207981.0560018291
2869,207489.42872181349
967,206896.47330637914
2656,103498.87204265036
667,195539.15092383994
1042,100527.99118893391
2023,165185.26027310395
2447,367854.4783409922
2055,131455.98813244252
2275,293830.9800450299
2204,177472.5470504235
1563,266731.89742772875
483,230500.53707350828
796,128777.79681942743
1526,156512.6151588174
2042,135289.37968755257
442,340767.2368182187
1693,333556.155777515
1468,222527.54735739768
1430,186458.0594551095
2605,176281.7647998852
1529,190678.55752716932
335,137696.21208538825
1287,115466.82688084194
31,93143.1849712831
1785,295971.1776007144
82,157191.92128554627
2620,137997.6574611758
252,178468.23801429328
721,64773.76521839126
2165,193389.58719890055
2316,195743.89415674284
775,147223.23174099927
1558,96732.10795871838
17,209777.7403073989
1022,235993.86968456258
925,134684.5066073193
438,294086.5154315974
1270,158803.2592551896
1272,132562.76057387644
215,131924.30907440407
266,232982.97859260562
2402,309323.36556921556
1250,126923.90807228342
1984,94308.26580988002
1279,156805.53933409543
377,245500.58532857674
1252,138370.34597495967
2156,252122.447275265
499,329989.72495027736
1374,125410.12581929404
2898,212124.3515476066
401,113185.47867576205
2721,166882.34192583602
2078,243005.04733028408
2589,110010.73842198434
1946,227648.7246307958
1334,113120.85312464598
2781,219580.9978797967
431,380528.3640190421
576,206007.5757877405
1474,211411.0681469486
2254,137668.87339987737
2155,276053.4347800988
885,103046.5310655272
643,147474.26741949594
1944,130171.19474669454
480,203905.32965742552
2845,110071.09897566348
2387,330788.3638199542
2407,227611.82872933726
2527,171874.08276688153
2514,149064.5113499231
629,167323.59711068388
80,204955.60036045604
1876,140093.48590144815
1546,111433.7751314667
2518,172761.30817844442
2347,167498.88951138454
783,198272.6040339599
1322,59383.34398132106
194,91920.20609912739
1770,299608.8004125576
2143,146349.8904484228
1229,225374.77103815996
511,269388.40840394795
46,248455.6133982099
1348,180844.1105776647
2465,206392.02733443573
387,240368.9289892116
873,225056.0573975794
1918,107707.71172239272
2764,237206.48048419558
2184,112372.8601936796
934,143266.0273722814
1920,112733.79473147556
2631,164052.07818926737
1768,513982.82906085724
2040,114470.3887093698
1749,222704.8276500972
834,246292.57846599584
1457,226523.53399194236
79,101588.71247251268
2302,126514.71089839705
1817,151191.5991114868
2755,252675.7679126915
359,178819.2755190713
2059,113423.0137625858
2092,241418.05571627154
2516,226399.61519766998
150,109197.20659163552
1656,135149.27221916034
83,101662.4141545223
2411,204604.80566192343
795,79206.23605436107
2312,215821.7524134324
2917,112542.5576420344
1624,184838.17799998968
2215,302790.8859993649
1211,141115.77137327625
1485,167369.64945344682
1024,187054.07533555242
570,182668.19854677017
2874,152246.20668626606
700,153823.36051152513
2756,214953.13138759226
2022,163659.5020656797
583,226832.26971046953
2392,367851.30696604
2424,176926.674814099
212,93332.79262257602
736,117453.0040004692
1610,191510.16927680853
890,111990.68378385955
467,180954.63681518703
578,229521.2282679809
1747,199951.59539641606
1149,159228.8295715086
2758,239350.77067549928
857,134632.11997029313
2219,282375.5252003331
733,101652.29991316065
2909,112989.98836497922
1798,255615.6184420357
235,120100.65785669221
2366,122500.6962565315
1027,133927.34333631754
1195,143708.47304953917
1303,41403.895144783746
148,182176.3739463637
608,142042.06653841108
2515,203816.01052055182
821,264395.11791270564
2500,282105.0012266551
745,102624.50785684101
741,129853.50949116083
1611,161948.72620961815
2532,128227.13560995931
1081,216343.94893802906
1692,413672.6329333725
2520,193488.3776711577
276,109589.67876297102
1992,132462.44972738015
663,22831.2981959818
418,110902.34645296454
1733,206197.07574379502
2359,149113.6232870993
253,196343.4089927977
1518,169612.20830749752
2035,139110.96116827743
2919,67728.8079656364
1540,228200.50369456224
2120,145926.64443359268
1674,164106.66156147714
256,146335.1611751579
2361,92594.91290931858
978,85198.89347188339
2280,125281.77133111274
2095,244790.7731862354
1709,333621.40261065227
2801,235395.14043181355
1246,122222.70289061885
2373,94162.34406244381
1055,303807.0982976081
2017,137582.7362928836
1099,291941.67503175896
1344,79597.73311795734
835,193081.09283487257
1117,225913.2523477025
2043,82123.83928298374
2085,100619.60745377516
410,143869.08502441365
2650,96599.21133444975
2867,176617.77102526184
1668,111948.72539355716
1161,158299.7538971272
2122,179593.50069381032
2539,137699.12749870174
1047,118204.9167863872
1445,135567.68317625413
541,120515.9121260052
569,203940.57128121838
1276,132777.89513461833
918,153010.7741036446
326,156794.43680131246
1936,120436.22811387881
895,98258.99904706943
257,145357.80143278005
1241,169698.0946708958
1545,113389.87609660217
1189,177092.01457865618
270,153158.99314566856
2066,208608.3283273606
693,113042.07486566824
1259,159425.16275627314
2916,155470.53250300104
2321,300148.98756027647
1977,91758.6515278244
1895,158531.04690135375
1240,166228.22025651127
85,153539.82294164196
1823,110589.68644546598
825,274742.16288873303
110,224682.22312414696
697,128875.09976661351
2297,114521.96309440359
1231,131770.13666625184
1355,129173.90300396577
968,317992.9162844049
584,244242.89058579868
1315,130539.54141066085
1606,127735.40171106333
206,95609.02949514196
1685,369875.7665030771
2016,126002.68709233703
869,203313.2557876002
2135,123762.54187055798
2346,184980.1421576481
2430,231154.7605079232
2198,99022.80559302309
2652,129646.57728387251
27,114269.58644754477
241,174443.84139690796
906,125747.20493259036
1506,112966.53786839175
2098,333439.698053873
1435,221501.64138756477
2213,141197.59771822783
1274,145609.1007571682
743,34941.684002368565
1737,222276.39636782967
2797,272338.9267000752
2185,53332.44085838455
58,176657.4989741185
830,209095.85122045944
808,105970.11740110713
680,146517.20045272532
1153,102507.77373669075
1291,142250.80916337992
1818,156237.25000948645
2161,195237.55961368533
1883,112020.1319690293
350,326218.85618238966
2473,144376.64036485052
295,188963.2961285332
293,196050.0807204212
859,137012.31329027624
288,59263.28263753999
1578,141458.39579245145
102,193527.3735006333
2831,151148.07146012125
1030,158631.88595882524
2551,141298.67565466996
1286,148357.49323921837
958,305814.306483715
776,133981.29144588817
72,213653.74536305302
2263,266194.15110682376
1866,159701.74348486253
2876,67107.08018509619
2146,239245.4325494268
103,179803.25688792544
1500,131755.01893836318
492,175368.37200742136
167,148636.25089672173
2597,114923.2944688087
2685,108975.28975630325
1035,144437.93213847428
1220,58493.608775142086
2602,158337.53474367116
2159,209011.4148273705
695,150610.36141822644
1109,277497.98298448906
640,176415.35745665262
1652,158551.664309798
2090,178267.99635467387
1188,172407.05812275512
2345,226148.7800769974
1059,381360.94527349883
2751,225826.78756306687
128,209161.60597076654
1523,160832.38206025265
2925,157218.94938089701
2145,264559.05353312194
1121,233363.80284925597
566,245259.32043429336
565,254732.3098383995
1331,144266.00553284286
2928,124014.90588051896
156,133383.9442108143
797,140795.44012735446
327,85357.72923805269
2859,158770.39326562936
1453,115182.57720752568
1762,339045.8881550826
1868,202608.2861696527
1760,169944.38011744397
1113,245855.36528515114
1812,199619.26619155018
117,161093.05757491852
1142,204731.55503442598
2342,391503.62197656976
927,158861.9416468493
2478,170057.02921484594
655,74542.50245415748
2064,121139.5043216261
369,286108.76267780917
2239,129594.50191705725
2732,212198.218978501
1653,168004.1405501168
959,221947.76690593414
2395,355029.43668536446
1412,100594.53811274175
271,248165.84207096504
1484,162347.17479334006
1497,142568.73111486822
552,144841.99682341452
2,112505.29682517763
1855,275336.8782350875
4,272381.9639599833
2292,158059.4737219041
134,133611.47040707993
646,104563.4229647986
42,337884.4769685046
532,218751.24620353727
713,97309.21448859389
2561,132641.9311829306
2360,135201.5984689673
1333,126606.47929523017
1407,192300.55036266922
2892,292224.539247795
574,212624.36503339754
1227,186137.06912655954
2591,234707.54581770097
1476,214993.27421672875
1125,258995.94004559267
1446,143545.00397727097
408,115207.05962386668
1101,307076.72807942313
2251,201538.09701068065
373,192687.69884455178
2554,143137.73022477524
2382,287140.20698574005
1985,88323.35608515827
519,242908.55976633733
1093,178990.38285221645
864,250162.06968229124
2889,150252.94695898864
2308,188132.9676221892
986,149627.99605616886
1302,150305.12524033414
585,160497.77144565913
2708,140990.25297954582
147,130538.02903846404
1441,224248.6334395416
383,201995.4370117691
285,161927.5455389902
181,107137.24554545122
358,189793.41916250953
780,182237.823803974
258,190176.85032563584
1865,210314.01464464466
692,106211.5623625001
2902,310127.09401777084
508,251362.2810786821
2638,139552.19850795966
36,138153.65862694394
611,175497.31746927006
2281,153588.95778190304
1678,123078.09246291834
1696,413591.6318113388
1557,76991.10818678452
2180,146099.05700037716
1726,258915.2981194421
951,149131.17638186016
267,220182.40169228034
2706,135083.6275949613
2221,235355.68552182402
1357,151875.29896977523
2901,292409.05812363717
347,180849.85560246656
2164,205000.82615434608
1586,295387.69152496697
360,159626.42026383383
1769,264704.76309761713
2617,171732.41540051246
1879,149970.0511314122
991,229929.22880285134
1535,132589.26212998727
1191,136852.6731269562
1579,232914.62831287168
1882,144305.06321873554
1510,115768.42726303298
2196,165611.02445131246
1845,187267.21144886265
2336,395483.5776183786
942,106626.79536922234
861,126543.98279476291
2555,107353.85342074228
1392,163340.33767803136
2099,260300.63472129218
1543,127070.6061829837
948,249886.2444093126
1239,153844.79736292077
22,202587.80132084351
2796,230085.24553952715
2747,189767.25464067713
92,288249.72159070923
210,161729.8704472639
1858,204492.0671057321
2228,151438.28958273807
447,253311.68945825516
827,227524.69425196512
1649,220184.40611870438
682,142819.78159831834
2698,115454.34052247103
494,158395.6057233381
214,112597.87539515637
2441,242296.31615161925
2679,110252.98387296691
1336,124254.43076831033
465,186567.4585486829
1524,144954.41850890784
2543,116073.20051120542
631,139461.67831934436
2452,326669.2518317896
228,171379.5472127701
126,142900.737055432
1092,244227.76682246925
1122,208567.6075770127
932,214341.2031164654
1980,71984.99123393638
2171,116278.50902412037
551,157972.47466154737
2768,156357.30810854313
2056,109493.04230754437
1159,348713.3611312647
2645,125668.54653151322
1174,174879.3605784317
2266,217311.18857385078
2462,324292.76380162546
1219,136788.9940586344
2922,178556.60839660733
118,143869.8648070884
474,174160.82897349368
2576,152450.8009853307
872,270413.56718871073
1077,247608.49798271642
1536,151416.77853263385
1150,124333.02413601952
2341,332494.18459902663
1931,148375.79776643476
2785,140922.73075581738
2538,120636.92349263966
597,201666.20662126088
464,220470.8977219618
233,224796.18408961582
2169,142480.37429201428
2123,170196.36619710224
1867,157548.7760899856
137,255191.63620551777
515,233089.2211339749
933,104457.93291656733
2784,174441.97658467098
972,151119.4144580423
599,170500.64546719188
2614,139048.51385304195
2582,146197.14630484747
1409,166583.61831927003
175,109540.80902145786
352,260763.43138995004
976,95538.94049801248
2134,194701.4614207702
984,105653.87381816431
2396,347507.44269638404
1673,131030.29730810341
404,106473.63203051925
607,166622.9589402323
814,166153.42213775386
868,193225.04578369827
2271,184674.9001558163
1633,263366.784643878
337,170819.62126863806
2765,177448.51366021115
1746,244656.73807738433
368,335012.7447572537
2806,201979.78353740016
1662,185432.9985500981
1234,216988.13300358315
1373,137162.0101110279
1672,109079.84142349791
1939,124926.0648294607
